"Bern" "Davos" "Genf" "St.Bern" "Saentis" "SilsM"
"1" -2.3 -7.5 -0.1 -9.4 -9.2 -9.2
"2" -0.7 -4.7 0.9 -7.6 -7.2 -6.4
"3" -0.9 -5.4 1.3 -7 -6.6 -7.1
"4" -1.5 -6.2 0.9 -9.5 -8 -7.9
"5" -1.4 -7.1 0 -8.8 -8.6 -8.4
"6" -0.9 -6.9 0.7 -7.7 -8.1 -8.5
"7" -3 -8.1 -1.1 -10.7 -10.7 -8.4
"8" -1 -5.4 0.9 -7.6 -7.5 -7.1
"9" -2.8 -8.1 -0.7 -9.8 -9.4 -9.6
"10" 0.4 -4.6 2.8 -8.4 -8.1 -6.3
"11" -1.3 -6 1.1 -7.5 -7.5 -7.3
"12" 1.7 -3.1 3.4 -6.2 -6 -5.4
"13" 0.2 -4.8 1.8 -6.7 -6.5 -6.9
"14" -1.6 -6 0.2 -7.5 -7.1 -6.9
"15" 0.4 -5.4 2.3 -9.9 -9 -7.5
"16" 2.3 -3.6 3.5 -6.8 -6.6 -5.2
"17" -1.8 -6.7 -0.2 -9.8 -9 -8.4
"18" -2.3 -6.6 -0.2 -8.3 -7.7 -8.5
"19" 0.3 -5.7 2.2 -8.2 -7.8 -7.3
"20" 1.9 -4.5 3 -6.5 -6.1 -6.3
"21" 1 -5 2.2 -6.9 -6.6 -6.4
"22" -0.4 -5.6 1.4 -8.1 -8.2 -6.9
"23" 0.2 -5.7 1.8 -8.1 -8.4 -7
"24" -1.7 -7.5 0.5 -9.5 -9.7 -8.9
"25" 0.8 -4.3 2.3 -6.7 -5.8 -6.8
"26" 1.1 -4.4 2.7 -7.1 -7.3 -6.8
"27" -0.9 -6 0.9 -8.6 -8.1 -7.2
"28" 0.8 -4.5 2.4 -7.4 -7.1 -6.8
"29" -4.2 -9.5 -1.9 -10.9 -10.9 -10.7
"30" 1.4 -4.6 2.9 -8.1 -6.7 -6.8
"31" -0.3 -7 1.7 -9.5 -9.2 -8.1
"32" -1.7 -7.4 0 -8.2 -7.5 -8.7
"33" -1 -5.8 0.6 -8.7 -8 -7.8
"34" -2.2 -6.4 -0.3 -7.8 -7.5 -8.3
"35" 0.8 -5.3 2.5 -8.2 -8.3 -6.9
"36" 1 -4.6 2.7 -8.4 -7.8 -6.4
"37" 1.6 -4.5 3.2 -6.5 -6.5 -6.3
"38" -0.6 -7 1.2 -8.7 -9 -8.6
"39" -0.7 -4.3 1.6 -7.7 -6.9 -6.2
"40" -2.1 -7 -0.2 -8.4 -8.7 -8.6
"41" -2.7 -8.1 -0.3 -9.9 -9.6 -9.5
"42" -3.7 -8.4 -1.4 -10.5 -11 -9.7
"43" 0 -4.9 1.7 -7.2 -6.4 -7
